Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Gambia,0,0,0,3,0,16,0,0,343,0,0,0,67,3,48,59,9,0,152,0,0,134,176,0,195,53,56,0,0,0,0,127,0,51,0,0,0
Georgia,0,0,18,5,2,4,2,0,0,1,0,3,1,2,0,9,33,0,38,72,58,94,188,292,341,391,220,0,61,122,64,174,121,82,77,88,209
Germany,1,1,39,66,123,60,77,65,53,151,167,1098,2668,1287,33083,37989,44140,15879,10471,12972,47352,27646,26681,68984,48090,54163,72613,78331,65896,31124,37808,54110,20938,24123,16452,31862,13450
Ghana,0,0,0,15,0,0,0,38,0,0,17,0,44,121,173,0,82,208,250,171,307,218,72,661,1,736,0,310,161,260,114,81,138,89,172,308,2
Gibraltar,0,0,0,0,0,0,0,0,12,0,229,152,84,0,285,0,0,0,0,666,414,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,3,35,66,10,20,0,0,0,0,1,8,10,180,509,3314,3943,175,977,262,1159,810,1347,618,806,2348,188,858,92,1414,1093,889,1174,670,563,4122
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,1,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,26,0,0,25,38,15,7,42,29,124,259,35,18,2,51,110,121,1266,75,54,7,67,2,9,24,27,4
Guam,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,4,27,17,28,73,69,9,71,73,71,84,58,70,50,28,53,10,40,43,10,10,0
Guatemala,0,0,0,0,0,0,0,10,0,0,0,0,22,0,0,8,1,0,269,199,217,126,180,428,72,43,239,0,66,324,72,199,66,93,339,674,368
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,32,174,0,13,1,99,0,0,0,0,241,11,78,0,0,0,170,43,45,0,0,21
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,49,0,3,2,1,79,0,0,0,0,0,0,0,0,2
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,48,0,0,16,0,0,0,0,0,91,0,0,0,0,195,57,100,0,0,102
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,0,6,44,0,0,0,0,115,0,0,0,0,0,0,0,2,0,0,0
Hong Kong,0,27,44,69,30,29,116,58,57,106,23,54,34,934,130,361,618,1175,798,47,71,270,86,128,123,673,604,2366,600,618,445,977,376,247,3315,1201,233
Hungary,0,0,3,0,29,28,1,0,24,0,0,188,5,105,23,30,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,8,0,36,49,1
Iceland,0,0,343,258,0,0,0,0,0,0,0,0,3694,0,0,951,0,0,0,0,4586,0,0,0,0,0,0,0,5,0,670,520,272,362,412,594,159
