Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Mongolia,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,20,0,0,0,0,0,1,0,133,267,304,214,125,0,0,0,184,206,40,96,0,80
Montenegro,0,0,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,138,48,50,0,189,85,94,0,117,0,0,0,89,77,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,5,2,2,4,0,1,0,9,0,0,0,0,0,0,0
Morocco,0,0,0,0,1,38,9,0,0,0,0,41,32,23,20,12,136,1,43,9,49,98,48,39,52,76,61,0,47,167,55,0,128,386,160,65,26
Mozambique,0,0,0,0,0,0,0,0,0,0,7,0,88,31,27,0,0,325,0,102,0,66,243,44,65,59,96,11,0,0,36,116,0,22,20,55,0
Myanmar,0,0,0,0,1,0,0,1,0,0,0,0,39,0,0,0,0,11,0,23,0,15,0,16,9,0,23,0,0,0,0,12,0,0,16,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,174,0,51,69,38,50,0,171,39,0,967,0,81,147,0,0,16,0,11
Nepal,0,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,33,83,0,51,48,55,0,106,670,593,266,56,305,908,66,107,48,96,30,0,0
Netherlands,0,0,190,396,254,763,2,822,150,340,573,1097,2829,3364,6871,9160,8407,6182,6825,8074,6424,5274,6853,11361,8861,8034,7914,6381,6100,3465,5648,4026,4861,4754,4137,4891,3153
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,53,0
New Zealand,0,0,7,0,0,251,1,0,184,463,99,42,68,54,46,55,32,22,34,546,649,631,1514,1089,1240,1208,1384,652,2567,2307,1803,4681,0,3006,3465,520,2479
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,48,0,0,0,0,2,1,2,298,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,18,45,0,0,63,0,0,10,44,2,24,59,0,0,0,0,0,0,0
Nigeria,0,0,1,1,17,1,22,0,45,0,0,134,69,196,109,67,127,91,55,149,1526,275,386,639,125,1068,833,99,469,245,231,239,157,172,3,142,269
North Macedonia,0,0,0,0,0,0,12,20,0,0,0,48,5,194,120,48,78,58,72,47,0,0,48,0,1,80,6,0,43,0,48,0,0,0,42,30,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,1,1,70,36,12,40,20,541,137,230,1476,380,16,11,108,159,80,192,1,0
Norway,0,0,8,21,19,7,87,0,150,145,169,214,459,352,3091,3205,2175,2090,1844,1889,10590,3515,2839,5151,5152,6530,5335,4268,4956,2846,1883,1504,1704,685,608,768,303
Oman,0,0,0,0,0,49,112,42,0,0,0,0,2,0,0,41,0,5,195,20,382,35,0,54,15,36,0,30,0,0,0,16,0,0,0,66,0
